name;link;price;image
"<a href=""/product/view/portativnaya-kolonka-microlab-d15"" target=""_blank"">Портативная колонка Microlab D15</a>";https://www.kivano.kg/product/view/portativnaya-kolonka-microlab-d15;"<div class=""listbox_price text-center"">
<strong>1400 сом</strong>
</div>";https://www.kivano.kg/images/product/76339/1580097978_02419400.jpg
"<a href=""/product/view/portativnaya-akustika-harper-pspb-022-chernaya"" target=""_blank"">Портативная акустика HARPER PSPB-022 черная</a>";https://www.kivano.kg/product/view/portativnaya-akustika-harper-pspb-022-chernaya;"<div class=""listbox_price text-center"">
<strong>3740 сом</strong>
</div>";https://www.kivano.kg/images/product/28010/28010.jpg
"<a href=""/product/view/portativnaya-akustika-genius-sp-i165"" target=""_blank"">Портативная акустика Genius SP-i165</a>";https://www.kivano.kg/product/view/portativnaya-akustika-genius-sp-i165;"<div class=""listbox_price text-center"">
<strong>350 сом</strong>
</div>";https://www.kivano.kg/images/product/9643/9643.jpeg
"<a href=""/product/view/dok-stantsiya-genius-sp-i500"" target=""_blank"">Док-станция Genius SP-i500</a>";https://www.kivano.kg/product/view/dok-stantsiya-genius-sp-i500;"<div class=""listbox_price text-center"">
<strong>400 сом</strong>
</div>";https://www.kivano.kg/images/product/9950/9950.jpg
"<a href=""/product/view/dok-stantsiya-dlya-iphone-ipod-microlab-idock130"" target=""_blank"">Док-станция для iPhone/iPod Microlab iDock130</a>";https://www.kivano.kg/product/view/dok-stantsiya-dlya-iphone-ipod-microlab-idock130;"<div class=""listbox_price text-center"">
<strong>4180 сом</strong>
</div>";https://www.kivano.kg/images/product/9701/9701.jpg
"<a href=""/product/view/akusticheskaya-sistema-sven-ps-425"" target=""_blank"">Акустическая система Sven PS-425</a>";https://www.kivano.kg/product/view/akusticheskaya-sistema-sven-ps-425;"<div class=""listbox_price text-center"">
<strong>4070 сом</strong>
</div>";https://www.kivano.kg/images/product/97310/1630903962_38794300.jpg
"<a href=""/product/view/portativnaya-akustika-xiaomi-mi-round-2-belaya"" target=""_blank"">Портативная акустика Xiaomi Mi Round 2 белая</a>";https://www.kivano.kg/product/view/portativnaya-akustika-xiaomi-mi-round-2-belaya;"<div class=""listbox_price text-center"">
<strong>2630 сом</strong>
</div>";https://www.kivano.kg/images/product/33096/33096.jpg
"<a href=""/product/view/portativnaya-akustika-yamaha-lsx-700"" target=""_blank"">Портативная акустика Yamaha LSX-700</a>";https://www.kivano.kg/product/view/portativnaya-akustika-yamaha-lsx-700;"<div class=""listbox_price text-center"">
<strong>67660 сом</strong>
</div>";https://www.kivano.kg/images/product/23375/23375.jpg
"<a href=""/product/view/portativnaya-akustika-yamaha-tsx-140"" target=""_blank"">Портативная акустика Yamaha TSX-140</a>";https://www.kivano.kg/product/view/portativnaya-akustika-yamaha-tsx-140;"<div class=""listbox_price text-center"">
<strong>45510 сом</strong>
</div>";https://www.kivano.kg/images/product/23376/1578494570_18831800.jpg
"<a href=""/product/view/portativnaya-akustika-yamaha-tsx-112"" target=""_blank"">Портативная акустика Yamaha TSX-112</a>";https://www.kivano.kg/product/view/portativnaya-akustika-yamaha-tsx-112;"<div class=""listbox_price text-center"">
<strong>37190 сом</strong>
</div>";https://www.kivano.kg/images/product/23377/1578494526_75621100.jpg
